track_id,title,artist,genre,year,primary_theme_pool,vader_sentiment,arousal,theme_1,theme_2,theme_3,theme_4,lyric_snippet,timbre,chroma_key,duration_sec,popularity,bpm,energy,valence,brightness,spectral_centroid_hz,spectral_rolloff_hz,spectral_flux,rms_energy,zero_crossing_rate,tempo_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_c,chroma_cs,chroma_d,chroma_ds,chroma_e,chroma_f,chroma_fs,chroma_g,chroma_gs,chroma_a,chroma_as,chroma_b,genre_encoded,timbre_encoded,chroma_key_encoded,primary_theme_pool_encoded
demo-0001,Midnight 1,Demo Artist 1,pop,1995,loss_longing,0.11680127150076036,0.4466021452350483,loss_longing,self_identity,none,none,A demo lyric about loss longing.,warm,C,163,75,59.39171849076931,38.656604957053176,0.11680127150076036,0.19582563945101455,915.3408483800742,2143.076333378155,0.49747982637435667,0.34391385319185275,0.11758795949725658,0.8777791935428949,0.06603069756121605,1.1272412069680329,0.4675093422520456,-0.8592924628832382,0.36875078408249884,-0.9588826008289989,0.8784503013072725,-0.049925910986252896,-0.18486236354526056,-0.6809295444039414,1.2225413386740303,-0.15452948206880215,-0.4283278221631072,0.07119680352747704,0.07738178265019223,0.013157087992340152,0.030663270078767662,0.11698436993518553,0.06634781207386606,0.21580042205627592,0.12093952465484205,0.04061470181884225,0.07870789260013483,0.10951389310244283,0.05869243950963349,5,4,3,3
demo-0002,Golden 2,Demo Artist 2,rock,1996,anxiety_darkness,0.7340415027447009,0.36122864579047276,anxiety_darkness,romance_new,none,none,A demo lyric about anxiety darkness.,bright,C#,300,54,87.34523414644156,30.918122276449665,0.7340415027447009,0.3067592234169044,1137.8593587680064,2541.003445645331,0.532803289509352,0.35275266166190616,0.11447191097549364,0.8678913563071895,0.36757906948889146,0.5891193986899841,0.9312882258385404,-1.1571558198556664,-0.019671216357301347,-0.17037265429279552,-0.33887784824334194,0.024857748773316257,1.794941311234396,-0.5658311156932432,1.2682783545914809,-1.3828697716158047,-0.03488502998577486,0.1777384488117007,0.1387769599325157,0.08803914095544592,0.04999113301146369,0.003750536515328978,0.08070836134446191,0.05242595092726207,0.12722636106924923,0.1711020359486606,0.028016570991708685,0.0041974571257574885,0.07802704336644502,7,1,4,0
demo-0003,Electric 3,Demo Artist 3,hip-hop,1997,social,0.7052388283254214,0.45291087662154506,social,bittersweet,none,none,A demo lyric about social.,dark,D,230,82,96.00472315173869,48.70910883284678,0.7052388283254214,0.3952522768223809,1374.8130285068894,2720.8533306080026,0.4455419230152392,0.46800419362855133,0.09608320708821921,0.8486972480785582,0.1305976597972761,0.6124941187276874,1.080746658905909,1.046531176029944,1.265385108972786,0.5015145154905764,0.17670168795584623,0.5202817890936009,-1.0873344339580298,-0.8471124724230873,-0.7226996123544024,-0.3972468276014818,0.9997742267234366,0.2322010739854775,0.1541597629109794,0.08421191299656892,0.13940755071536323,0.054760404463459166,0.08044213635017954,0.028642263232481924,0.016501563525859072,0.1615787394033264,0.010569160332060408,0.014154616385930505,0.02337081569831392,3,2,5,4
demo-0004,Velvet 4,Demo Artist 4,electronic,1998,joy_celebration,0.4524680035442564,0.44284364392879694,joy_celebration,nostalgia_memory,none,none,A demo lyric about joy celebration.,acoustic,D#,153,80,94.76405832748958,55.85282722798733,0.4524680035442564,0.4986140969083763,1532.6222574628132,3448.320200437765,0.46409665587904636,0.5073533976487801,0.13358551269912633,0.8219996683971765,2.2591875752404365,1.7351112459145783,1.2568710591495091,2.3633028912195617,-0.288763054322851,0.2602484672502522,-0.026575941405524994,0.510190196844232,-0.4766861475563089,1.5351509468144042,0.6777773029012265,-0.570806294502658,-0.11557908120754168,0.1712260132194098,0.029853227298799384,0.12051854172979423,0.03506489028576622,0.19770895499053448,0.05672695601928396,0.09543974346672673,0.06468887432845785,0.0923053081549461,0.05785706979691458,0.07509202309487928,0.0035183976144872544,1,0,6,2
demo-0005,Northern 5,Demo Artist 5,jazz,1999,empowerment,0.36256388539562756,0.7052268407314221,empowerment,spirituality,none,none,A demo lyric about empowerment.,punchy,E,198,64,93.60253644236515,71.79176276945172,0.36256388539562756,0.5010953672741336,1733.5460939018014,3798.227384444379,0.5195411782209329,0.7670546032456701,0.13001408802921696,0.6815056233582976,0.2348832377676281,0.47477393546424673,3.328469732435164,0.3786133207756138,2.038489203736345,0.2970728219129736,2.1315730128742443,1.5849509661058632,1.0433621023419095,1.1592374738645659,0.5452123045706095,1.6460722014820806,0.74501651965922,0.07672269652653525,0.09519442191021299,0.06386035773431126,0.07974106600752863,0.06842486893667662,0.07333441131479781,0.15142169529101165,0.18962068977266033,0.04448309989614354,0.006094317784041846,0.0942730600196949,0.05682931480638515,4,3,7,1
demo-0006,Quiet 6,Demo Artist 6,folk,2000,loss_longing,0.09054726406034681,0.6351379507720399,loss_longing,self_identity,none,none,A demo lyric about loss longing.,warm,F,160,86,113.56384629373919,50.306371619353996,0.09054726406034681,0.569345014309121,2125.373315069064,3600.731777232172,0.3657909471566261,0.5352300559279922,0.14210789754280823,0.7994878133279929,1.3365571014754873,1.8375745487989334,2.907481861313717,1.5905849069017455,2.143938793276858,-0.5501721010310225,1.451281598069882,0.6567697297071289,0.281186939576372,0.6218476330712492,1.165876559299188,2.415902542356013,0.17360728226043598,0.036088712860741744,0.03353308079728822,0.025471899603229407,0.10519332508158158,0.06546277538457107,0.08727468151098607,0.1292704215884173,0.1162962090226934,0.10533455047116727,0.14095158840050415,0.00347019349752107,0.1516525617812988,2,4,8,3
demo-0007,Neon 7,Demo Artist 7,r&b,2001,anxiety_darkness,0.7132489542213307,0.7384279855446753,anxiety_darkness,romance_new,none,none,A demo lyric about anxiety darkness.,bright,F#,269,53,143.13979230027135,73.11888030144453,0.7132489542213307,0.8101475689025335,2057.6107979329418,4068.2709949211485,0.28048369972444953,0.701653452316271,0.1663121000718068,0.9205853620888234,1.0709161622563914,1.1458535599322033,-0.34728902973865505,1.6373340794550921,0.7375855881404367,1.2705605726339262,0.9231392218324116,1.7057374457474428,0.04227160864336854,0.33295475460900925,3.929247112028298,0.5125774187259688,0.7032144215453602,0.20669383666065583,0.026648496998677634,0.0071170470521224345,0.04357584032828719,0.008531350741447119,0.05687984959622416,0.05890537802580422,0.013690319581403062,0.3727442474819091,0.036484476623438504,0.14449467093806065,0.024234485971970067,6,1,9,0
demo-0008,Endless 8,Demo Artist 8,classical,2002,social,0.6309461004820267,0.5837015037948857,social,bittersweet,none,none,A demo lyric about social.,dark,G,181,33,126.55738224944787,60.50125029956022,0.6309461004820267,0.7577230818036111,2491.5258981383795,4467.977278980324,0.5527634612598805,0.6076702703744955,0.1700016878618283,0.7278441966457153,2.416494261673308,2.0027134015865107,4.193168308930595,3.6733549024752428,2.485846552556501,1.3369427903052324,0.9875885280165821,3.2911429530888654,2.3627492251471387,2.580143403391611,0.35541401302580744,3.027438481558181,2.554420338214363,0.16135469110909129,0.22765506001957217,0.09867720147697584,0.12337891676674308,0.07833224828748506,0.01375017063447774,0.08324611496414548,0.011917904203323683,0.07064193165105931,0.05479440172622886,0.02553577670051702,0.050715582460380486,0,2,10,4
demo-0009,Midnight 9,Demo Artist 9,pop,2003,anxiety_darkness,0.7702468334942969,0.24498153616416535,anxiety_darkness,romance_new,none,none,A demo lyric about anxiety darkness.,acoustic,G#,176,53,88.81880171331348,38.551927876245195,0.7702468334942969,0.17729108760670897,1003.6593616437826,2140.865459837879,0.4908013481256729,0.3328743532272545,0.09331087655288248,0.930004459469896,0.582655241987707,1.732311605409944,1.1774118889776937,0.4390866789295762,1.743934526167792,0.43899315873829875,0.8279881767970589,-0.29657095353470836,0.06654581585920483,-0.6974238233002769,0.989583934594853,-1.1783036231148656,0.7823503424176613,0.19530019146192024,0.002413365922264959,0.07001001855675437,0.006063516535694061,0.15451871151017882,0.005444231126736495,0.09757074686226766,0.011386289461154933,0.285515535969866,0.03635094993183087,0.07384095093013433,0.06158549173119728,5,0,11,0
demo-0010,Golden 10,Demo Artist 10,rock,2004,social,0.568902610684768,0.32875091600065137,social,bittersweet,none,none,A demo lyric about social.,punchy,A,265,67,77.63087778082735,32.61283485705505,0.568902610684768,0.3849607577240995,1248.6374443328036,2629.577065000399,0.156306573710285,0.3413466850220635,0.11144067146465156,0.8413890285372694,1.9162096816512073,-1.7632382768047428,-0.2911034251911056,0.8909063227933547,-1.2815943994539423,1.775949048053509,0.6683566127006584,1.146583985843404,-0.27094366152179455,1.1137636899662104,1.3684715559890384,0.5328780201371683,0.534400892698696,0.0315824372890483,0.030123791234736165,0.04064421215774841,0.012605318277604171,0.011022494674714126,0.19017400604831416,0.14695732445265933,0.03604170855206166,0.01979992638184999,0.08227226504079223,0.26612257036423453,0.13265394552623683,7,3,0,4
